Date,Predicted_Pickups,Predicted_Returns
2025-08-07,1144,573
2025-08-09,1232,354
2025-08-11,1069,688
2025-08-08,1371,500
2025-08-12,873,830
2025-08-13,670,528
2025-08-14,571,761
2025-08-15,752,453
2025-08-18,600,444
2025-08-19,626,898
2025-08-20,539,513
2025-08-16,583,118
2025-08-22,642,495
2025-08-25,533,250
2025-08-21,555,372
2025-08-26,557,149
2025-08-23,608,55
2025-08-27,478,146
2025-08-28,482,207
2025-08-29,556,223
2025-09-02,317,107
2025-09-04,265,66
2025-09-06,193,9
2025-08-30,541,5
2025-09-03,306,50
2025-09-05,167,23
2025-09-08,150,18
2025-09-09,157,3
