Date,LOT,Predicted_Pickups,Predicted_Returns
2025-02-06,0,7503,901
2025-02-07,0,7543,1110
2025-02-08,0,7581,264
2025-02-10,0,7655,1529
2025-02-11,0,7689,1655
2025-02-12,0,7723,2450
2025-02-13,0,7755,2849
2025-02-14,0,7786,3216
2025-02-15,0,7816,1204
2025-02-17,0,7873,2727
2025-02-18,0,7899,4365
2025-02-19,0,7925,5026
2025-02-20,0,7949,4058
2025-02-21,0,7972,3346
2025-02-22,0,7995,235
2025-02-24,0,8036,3650
2025-02-25,0,8054,4871
2025-02-26,0,8072,4206
2025-02-27,0,8089,4266
2025-02-28,0,8105,5105
2025-03-01,0,8120,1306
2025-03-03,0,8146,5404
2025-03-04,0,8158,4268
2025-03-05,0,8168,4779
2025-03-06,0,8178,4386
2025-03-07,0,8187,3280
2025-03-10,0,8208,2269
2025-03-11,0,8213,3172
2025-03-12,0,8217,4247
2025-03-13,0,8220,2760
2025-03-08,0,8195,42
2025-03-14,0,8222,2970
2025-03-15,0,8223,466
2025-03-17,0,8224,4991
2025-03-18,0,8222,3943
2025-03-19,0,8220,3712
2025-03-20,0,8217,3048
2025-03-21,0,8213,4201
2025-03-22,0,8209,829
2025-03-24,0,8197,4365
2025-03-25,0,8190,5815
2025-03-26,0,8182,5683
2025-03-27,0,8174,5212
2025-03-28,0,8165,6528
2025-03-29,0,8155,796
2025-03-31,0,8132,3768
2025-04-01,0,8120,3855
2025-04-02,0,8107,5071
2025-04-03,0,8093,3595
2025-04-04,0,8079,3836
2025-04-05,0,8064,780
2025-04-07,0,8031,4718
2025-04-08,0,8014,5400
2025-04-09,0,7997,6181
2025-04-10,0,7978,4797
2025-04-11,0,7959,4281
2025-04-12,0,7940,747
2025-04-14,0,7899,5813
2025-04-15,0,7877,8122
2025-04-16,0,7855,7146
2025-04-17,0,7833,6349
2025-04-18,0,7810,5682
2025-04-19,0,7786,1162
2025-04-21,0,7737,4122
2025-04-22,0,7712,4326
2025-04-23,0,7686,6352
2025-04-24,0,7660,5479
2025-04-25,0,7633,6909
2025-04-26,0,7606,1052
2025-04-28,0,7550,4182
2025-04-29,0,7521,6575
2025-04-30,0,7492,5525
2025-05-01,0,7463,1834
2025-05-02,0,7433,3207
2025-05-03,0,7403,619
2025-05-05,0,7341,2911
2025-05-06,0,7309,3672
2025-05-07,0,7278,2500
2025-05-08,0,7245,2328
2025-05-09,0,7213,1463
2025-05-10,0,7180,976
2025-05-12,0,7113,2159
2025-05-13,0,7079,2177
2025-05-14,0,7045,1609
2025-05-15,0,7010,1413
2025-05-16,0,6976,903
2025-05-17,0,6941,331
2025-05-19,0,6870,2358
2025-05-20,0,6834,2689
2025-05-21,0,6798,2204
2025-05-22,0,6762,1419
2025-05-23,0,6725,2505
2025-05-24,0,6688,350
2025-05-27,0,6577,1390
2025-05-28,0,6540,971
2025-05-29,0,6502,812
2025-05-30,0,6464,817
2025-05-31,0,6427,367
2025-06-02,0,6350,1173
2025-06-03,0,6312,846
2025-06-04,0,6274,1316
2025-06-05,0,6235,286
2025-06-06,0,6197,143
2025-06-07,0,6158,56
2025-06-09,0,6081,427
2025-06-10,0,6042,491
2025-06-11,0,6004,812
2025-06-12,0,5965,900
2025-06-13,0,5926,659
2025-06-14,0,5887,292
2025-06-16,0,5810,442
2025-06-17,0,5771,564
2025-06-18,0,5732,834
2025-06-19,0,5694,278
2025-06-20,0,5655,756
2025-06-21,0,5617,119
2025-06-23,0,5540,1145
2025-06-24,0,5501,908
2025-06-25,0,5463,725
2025-06-26,0,5425,1032
2025-06-27,0,5387,1476
2025-06-28,0,5350,384
2025-06-30,0,5275,1665
2025-07-01,0,5237,1128
2025-07-02,0,5200,840
2025-07-03,0,5163,1358
2025-07-07,0,5017,1757
2025-07-08,0,4981,962
2025-07-09,0,4946,951
2025-07-04,0,5126,186
2025-07-10,0,4910,559
2025-07-11,0,4875,875
2025-07-14,0,4772,1506
2025-07-15,0,4738,1185
2025-07-12,0,4840,283
2025-07-16,0,4704,725
2025-07-17,0,4671,1346
2025-07-18,0,4638,686
2025-07-21,0,4541,1225
2025-07-23,0,4478,485
2025-07-22,0,4509,1203
2025-07-25,0,4417,1234
2025-07-19,0,4605,182
2025-07-24,0,4447,877
2025-07-28,0,4328,983
2025-07-29,0,4299,910
2025-07-26,0,4387,190
2025-07-30,0,4271,1167
2025-08-01,0,4216,734
2025-08-04,0,4137,1080
2025-07-31,0,4243,945
2025-08-02,0,4189,61
2025-08-05,0,4111,558
2025-08-06,0,4086,507
2025-08-07,0,4062,622
2025-08-09,0,4015,370
2025-08-11,0,3970,730
2025-08-08,0,4038,535
2025-08-12,0,3948,978
2025-08-13,0,3928,616
2025-08-14,0,3907,1029
2025-08-15,0,3887,674
2025-08-18,0,3832,777
2025-08-19,0,3814,1495
2025-08-20,0,3798,961
2025-08-16,0,3868,182
2025-08-22,0,3767,1210
2025-08-25,0,3725,668
2025-08-21,0,3782,853
2025-08-26,0,3713,417
2025-08-23,0,3752,158
2025-08-27,0,3701,552
2025-08-28,0,3690,839
2025-08-29,0,3679,1152
2025-09-02,0,3646,626
2025-09-04,0,3634,838
2025-09-06,0,3625,102
2025-08-30,0,3670,99
2025-09-03,0,3640,810
2025-09-05,0,3629,1053
2025-09-08,0,3620,692
2025-09-09,0,3618,808
2025-09-10,0,3617,659
2025-09-11,0,3618,1017
2025-09-13,0,3621,306
2025-09-12,0,3619,536
2025-09-15,0,3628,896
2025-09-17,0,3638,797
2025-09-16,0,3632,592
2025-09-19,0,3652,1072
2025-09-20,0,3661,535
2025-09-18,0,3645,1310
2025-09-22,0,3681,2342
2025-09-23,0,3692,1479
2025-09-24,0,3704,1491
2025-09-25,0,3718,1211
2025-09-26,0,3732,1675
2025-09-27,0,3748,1803
2025-09-29,0,3782,3134
2025-09-30,0,3800,1806
2025-10-01,0,3820,1130
2025-10-03,0,3863,678
2025-10-02,0,3841,839
2025-10-04,0,3886,244
2025-10-06,0,3935,487
2025-10-07,0,3961,318
2025-10-08,0,3988,431
2025-10-09,0,4017,420
2025-10-10,0,4047,403
2025-10-13,0,4143,401
2025-10-11,0,4078,127
2025-10-14,0,4177,293
2025-10-16,0,4250,374
2025-10-15,0,4213,146
2025-10-17,0,4288,219
2025-10-18,0,4327,104
2025-10-20,0,4409,49
2025-10-21,0,4452,31
2025-10-22,0,4496,59
2025-10-23,0,4542,66
2025-10-24,0,4589,46
2025-10-25,0,4637,21
2025-10-27,0,4737,14
2025-10-28,0,4789,21
2025-10-30,0,4897,2
