Date,LOT,Predicted_Pickups,Predicted_Returns
2025-05-21,0,1204,736
2025-05-22,0,1224,733
2025-05-24,0,1269,224
2025-05-23,0,1246,1740
2025-05-27,0,1347,1174
2025-05-28,0,1376,927
2025-05-29,0,1407,814
2025-05-30,0,1439,650
2025-05-31,0,1472,317
2025-06-02,0,1542,987
2025-06-03,0,1579,1193
2025-06-04,0,1617,726
2025-06-05,0,1656,676
2025-06-06,0,1696,295
2025-06-10,0,1867,901
2025-06-09,0,1823,417
2025-06-11,0,1913,1410
2025-06-07,0,1737,67
2025-06-12,0,1959,2752
2025-06-13,0,2006,1405
2025-06-16,0,2152,959
2025-06-14,0,2054,347
2025-06-17,0,2203,826
2025-06-18,0,2254,2177
2025-06-19,0,2305,301
2025-06-20,0,2357,1588
2025-06-23,0,2518,2021
2025-06-21,0,2410,295
2025-06-24,0,2572,930
2025-06-25,0,2627,1179
2025-06-26,0,2682,1078
2025-06-27,0,2738,1993
2025-06-28,0,2794,353
2025-06-30,0,2908,2243
2025-07-01,0,2965,1268
2025-07-02,0,3022,1140
2025-07-03,0,3079,1901
2025-07-08,0,3368,2610
2025-07-07,0,3310,3590
2025-07-04,0,3137,79
2025-07-09,0,3426,1927
2025-07-10,0,3484,719
2025-07-11,0,3541,1504
2025-07-14,0,3714,3233
2025-07-15,0,3771,2166
2025-07-12,0,3599,343
2025-07-16,0,3828,927
2025-07-17,0,3884,2118
2025-07-19,0,3996,536
2025-07-21,0,4107,2083
2025-07-18,0,3941,1586
2025-07-22,0,4162,2071
2025-07-23,0,4216,1603
2025-07-24,0,4269,1561
2025-07-25,0,4322,1856
2025-07-26,0,4375,183
2025-07-28,0,4478,1632
2025-07-30,0,4578,1349
2025-07-31,0,4627,1497
2025-07-29,0,4528,1248
2025-08-01,0,4675,1164
2025-08-02,0,4723,183
2025-08-04,0,4815,1357
2025-08-05,0,4859,1402
2025-08-06,0,4903,744
2025-08-07,0,4946,1045
2025-08-08,0,4987,808
2025-08-09,0,5028,319
2025-08-11,0,5106,1359
2025-08-12,0,5143,1398
2025-08-13,0,5179,857
2025-08-14,0,5214,1944
2025-08-15,0,5247,996
2025-08-16,0,5279,639
2025-08-18,0,5340,1453
2025-08-19,0,5368,2655
2025-08-20,0,5394,2070
2025-08-21,0,5420,2344
2025-08-22,0,5443,3322
2025-08-25,0,5505,1671
2025-08-26,0,5522,1612
2025-08-27,0,5537,1801
2025-08-23,0,5465,261
2025-08-28,0,5551,1994
2025-08-29,0,5563,3039
2025-08-30,0,5574,198
2025-09-03,0,5596,1287
2025-09-02,0,5593,1178
2025-09-04,0,5597,1637
2025-09-05,0,5596,1419
2025-09-06,0,5593,195
2025-09-08,0,5580,761
2025-09-09,0,5571,604
2025-09-10,0,5559,674
2025-09-11,0,5546,829
2025-09-12,0,5530,249
2025-09-13,0,5511,129
2025-09-15,0,5468,309
2025-09-16,0,5443,149
2025-03-10,0,6150,21
2025-03-11,0,5966,15
2025-03-12,0,5786,20
2025-03-18,0,4789,82
2025-03-20,0,4488,16
2025-03-24,0,3929,34
2025-03-25,0,3799,34
2025-03-27,0,3549,17
2025-03-28,0,3429,160
2025-03-31,0,3090,1
2025-04-04,0,2685,26
2025-04-05,0,2592,18
2025-04-12,0,2027,12
2025-04-26,0,1320,13
2025-05-03,0,1155,5
2025-09-19,0,5353,242
2025-09-20,0,5318,47
2025-09-27,0,5000,629
2025-09-29,0,4884,605
2025-09-22,0,5240,1009
2025-09-23,0,5197,294
2025-09-25,0,5104,101
2025-09-26,0,5053,232
2025-09-30,0,4822,387
2025-10-02,0,4690,154
2025-10-03,0,4619,100
2025-09-18,0,5385,124
2025-09-24,0,5152,181
2025-10-01,0,4758,189
2025-10-06,0,4390,118
2025-10-07,0,4307,86
2025-09-17,0,5415,53
2025-10-04,0,4546,23
2025-10-13,0,3744,83
2025-10-10,0,4040,75
2025-10-08,0,4221,99
2025-10-14,0,3639,28
2025-10-09,0,4132,55
2025-10-15,0,3530,105
2025-10-16,0,3418,307
2025-10-11,0,3945,12
2025-10-17,0,3303,123
2025-10-18,0,3184,54
2025-10-21,0,2807,31
2025-10-22,0,2674,13
2025-10-23,0,2537,40
2025-10-20,0,2936,12
2025-10-24,0,2397,28
2025-10-27,0,1954,3
